タイトル,著者名,登録日,年月,冊数,ページ数,本詳細ページ
"世界の終わりと始まりの不完全な処遇","織守 きょうや",2018/07/12,201807,13,361,https://bookmeter.com/books/12861838
"うそつき、うそつき (ハヤカワ文庫JA)","清水 杜氏彦",2018/07/11,201807,13,480,https://bookmeter.com/books/12368780
"時は止まったふりをして (新潮文庫nex)","藤石 波矢",2018/07/09,201807,13,267,https://bookmeter.com/books/12860433
"未必のマクベス (ハヤカワ文庫JA)","早瀬 耕",2018/07/06,201807,13,613,https://bookmeter.com/books/12290338
"リアルフェイス (実業之日本社文庫)","知念 実希人",2018/07/03,201807,13,368,https://bookmeter.com/books/12844814
"銀塩写真探偵 一九八五年の光 (角川文庫)","ほしお さなえ",2018/06/28,201806,15,256,https://bookmeter.com/books/12848285
"アルケミストの不思議な家 (メディアワークス…","有間 カオル",2018/06/27,201806,15,290,https://bookmeter.com/books/12894144
"KB部 (MF文庫J)","新木 伸",2018/06/26,201806,15,232,https://bookmeter.com/books/12891325
"明日、君が花と散っても (角川文庫)","柳瀬 みちる",2018/06/25,201806,15,320,https://bookmeter.com/books/12849216
"灰と幻想のグリムガル　level.13　心、…","十文字青",2018/06/23,201806,15,255,https://bookmeter.com/books/12922715
"重神機パンドーラ -Before Pando…","絵戸太郎",2018/06/22,201806,15,322,https://bookmeter.com/books/12826521
"誰が為にケモノは生きたいといった2 (ファン…","榊 一郎",2018/06/21,201806,15,312,https://bookmeter.com/books/12877406
"火星に住むつもりかい? (光文社文庫)","伊坂 幸太郎",2018/06/20,201806,15,501,https://bookmeter.com/books/12789904
"あなたの魂に安らぎあれ (ハヤカワ文庫JA)","神林 長平",2018/06/15,201806,15,399,https://bookmeter.com/books/543135
"涙のような雨が降る (双葉文庫)","赤川 次郎",2018/06/12,201806,15,400,https://bookmeter.com/books/12754750
"モンスターになった俺がクラスメイトの女騎士を…","水瀬 葉月",2018/06/11,201806,15,328,https://bookmeter.com/books/12852014
"ライトジーンの遺産 (ハヤカワ文庫JA)","神林 長平",2018/06/09,201806,15,626,https://bookmeter.com/books/567478
"僕はロボットごしの君に恋をする","山田悠介",2018/06/05,201806,15,256,https://bookmeter.com/books/12207474
"地下にうごめく星","渡辺 優",2018/06/04,201806,15,224,https://bookmeter.com/books/12712828
"人月の神話【新装版】","Jr FrederickP.Brooks",2018/06/03,201806,15,321,https://bookmeter.com/books/7870607
"ガソリン生活 (朝日文庫)","伊坂幸太郎",2018/05/31,201805,10,528,https://bookmeter.com/books/10625966
"プラネタリウムの外側 (ハヤカワ文庫JA)","早瀬 耕",2018/05/28,201805,10,317,https://bookmeter.com/books/12739444
"緋弾のアリアXXVIII 絶島の珊瑚礁 (M…","赤松 中学",2018/05/26,201805,10,296,https://bookmeter.com/books/12814862
"君死にたもう流星群 (MF文庫J)","松山 剛",2018/05/24,201805,10,360,https://bookmeter.com/books/12814804
"グリフォンズ・ガーデン (ハヤカワ文庫JA)","早瀬 耕",2018/05/24,201805,10,294,https://bookmeter.com/books/12733448
"ドグマ・マ=グロ (新潮文庫)","梶尾 真治",2018/05/22,201805,10,503,https://bookmeter.com/books/532439
"増補改訂版Java言語で学ぶデザインパターン…","結城 浩",2018/05/19,201805,10,484,https://bookmeter.com/books/496462
"死神の精度 (文春文庫)","伊坂 幸太郎",2018/05/17,201805,10,345,https://bookmeter.com/books/577461
"死神の浮力 (文春文庫)","伊坂 幸太郎",2018/05/15,201805,10,538,https://bookmeter.com/books/11034971
"九十九十九 (講談社文庫)","舞城 王太郎",2018/05/10,201805,10,608,https://bookmeter.com/books/579906
"アラミタマ奇譚 (祥伝社文庫)","梶尾 真治",2018/04/30,201804,14,328,https://bookmeter.com/books/9802714
"いま集合的無意識を、 (ハヤカワ文庫JA)","神林 長平",2018/04/29,201804,14,242,https://bookmeter.com/books/4684249
"メカ・サムライ・エンパイア 下 (ハヤカワ文…","ピーター・トライアス",2018/04/28,201804,14,336,https://bookmeter.com/books/12733316
"エイルン・ラストコード ~架空世界より戦場へ…","東 龍乃助",2018/04/27,201804,14,296,https://bookmeter.com/books/12761610
"もうひとりの魔女 (メディアワークス文庫)","入間 人間",2018/04/25,201804,14,258,https://bookmeter.com/books/12765566
"メカ・サムライ・エンパイア 上 (ハヤカワ文…","ピーター・トライアス",2018/04/24,201804,14,320,https://bookmeter.com/books/12733315
"リーダブルコード ―より良いコードを書くため…","Dustin Boswell,Trevor Foucher",2018/04/22,201804,14,260,https://bookmeter.com/books/5148925
"年下寮母に甘えていいですよ? 2 (ガガガ文…","今慈 ムジナ",2018/04/21,201804,14,278,https://bookmeter.com/books/12750643
"モダンタイムス(下) (講談社文庫)","伊坂 幸太郎",2018/04/20,201804,14,472,https://bookmeter.com/books/4164856
"モダンタイムス(上) (講談社文庫)","伊坂 幸太郎",2018/04/18,201804,14,352,https://bookmeter.com/books/4164855
"絞首台の黙示録 (ハヤカワ文庫JA)","神林 長平",2018/04/16,201804,14,399,https://bookmeter.com/books/12741162
"NECK (講談社文庫)","舞城 王太郎",2018/04/09,201804,14,584,https://bookmeter.com/books/611239
"それでも異能兵器はラブコメがしたい (角川ス…","カミツキレイニー",2018/04/05,201804,14,324,https://bookmeter.com/books/12699943
"ゑゐり庵綺譚 (扶桑社文庫)","梶尾 真治",2018/04/03,201804,14,468,https://bookmeter.com/books/526923
"誰が為にケモノは生きたいといった (ファンタ…","榊 一郎",2018/03/26,201803,14,360,https://bookmeter.com/books/12631579
"お兄ちゃん……ここでなら、好きって言ってもい…","ツカサ",2018/03/24,201803,14,296,https://bookmeter.com/books/12701374
"今からあなたを脅迫します 灰色たちの雨上がり…","藤石 波矢",2018/03/23,201803,14,0,https://bookmeter.com/books/12685142
"深夜百太郎 出口","舞城 王太郎,MASAFUMI SANAI",2018/03/22,201803,14,536,https://bookmeter.com/books/9924394
"灰と幻想のグリムガル level.12 それ…","十文字青",2018/03/21,201803,14,0,https://bookmeter.com/books/12738153
"深夜百太郎 入口","舞城 王太郎,MASAFUMI SANAI",2018/03/19,201803,14,432,https://bookmeter.com/books/9854034
"どうか、天国に届きませんように (集英社オレ…","長谷川 夕",2018/03/16,201803,14,224,https://bookmeter.com/books/12643557
"魔女の旅々 6 (GAノベル)","白石 定規",2018/03/15,201803,14,304,https://bookmeter.com/books/12509029
"黄泉びと知らず (新潮文庫)","梶尾 真治",2018/03/15,201803,14,291,https://bookmeter.com/books/490064
"黄泉がえり (新潮文庫)","梶尾 真治",2018/03/13,201803,14,476,https://bookmeter.com/books/564313
"たゆたいエマノン (文芸書)","梶尾 真治",2018/03/08,201803,14,221,https://bookmeter.com/books/11701298
"デイ・トリッパー","梶尾 真治",2018/03/05,201803,14,303,https://bookmeter.com/books/11936419
"青くて痛くて脆い","住野 よる",2018/03/03,201803,14,312,https://bookmeter.com/books/12664257
"レッド・クイーン 2　ガラスの剣 (ハーパー…","ヴィクトリア エイヴヤード",2018/03/02,201803,14,616,https://bookmeter.com/books/12544629
"魔法医師の診療記録 7 (ガガガ文庫)","手代木 正太郎",2018/02/26,201802,11,376,https://bookmeter.com/books/12629860
"重力ピエロ (新潮文庫)","伊坂 幸太郎",2018/02/24,201802,11,485,https://bookmeter.com/books/581016
"ソラリス (ハヤカワ文庫ＳＦ)","スタニスワフ・レム",2018/02/20,201802,11,432,https://bookmeter.com/books/9701703
"魔王 (講談社文庫)","伊坂 幸太郎",2018/02/18,201802,11,384,https://bookmeter.com/books/579037
"最後にして最初のアイドル (ハヤカワ文庫JA)","草野 原々",2018/02/15,201802,11,336,https://bookmeter.com/books/12512117
"壱里島奇譚 (祥伝社文庫)","梶尾 真治",2018/02/14,201802,11,402,https://bookmeter.com/books/7092311
"オーデュボンの祈り (新潮文庫)","伊坂 幸太郎",2018/02/11,201802,11,464,https://bookmeter.com/books/578342
"アルバトロスは羽ばたかない (創元推理文庫)","七河 迦南",2018/02/07,201802,11,422,https://bookmeter.com/books/12368318
"荒木町奇譚 (ハルキ文庫)","有間 カオル",2018/02/04,201802,11,236,https://bookmeter.com/books/12659006
"ラメルノエリキサ","渡辺 優",2018/02/03,201802,11,184,https://bookmeter.com/books/10135568
"波の手紙が響くとき (ハヤカワSFシリーズ　…","オキシ　タケヒコ",2018/02/02,201802,11,360,https://bookmeter.com/books/9754158
"スクールアタック・シンドローム (新潮文庫)","舞城 王太郎",2018/01/31,201801,18,251,https://bookmeter.com/books/577203
"SPEEDBOY! (講談社文庫)","舞城 王太郎",2018/01/30,201801,18,216,https://bookmeter.com/books/5148513
"つばき、時跳び (徳間文庫)","梶尾 真治",2018/01/29,201801,18,397,https://bookmeter.com/books/12578984
"純喫茶「一服堂」の四季 (講談社文庫)","東川 篤哉",2018/01/27,201801,18,352,https://bookmeter.com/books/11660613
"チアーズ!2 (MF文庫J)","赤松 中学",2018/01/26,201801,18,232,https://bookmeter.com/books/12484539
"緋弾のアリアXXVII 那由多の弾奏 (MF…","赤松 中学",2018/01/25,201801,18,296,https://bookmeter.com/books/12484538
"桜花忍法帖 バジリスク新章 (下) (講談社…","山田 正紀",2018/01/24,201801,18,320,https://bookmeter.com/books/9963947
"桜花忍法帖 バジリスク新章 (上) (講談社…","山田 正紀",2018/01/22,201801,18,304,https://bookmeter.com/books/9876976
"自由なサメと人間たちの夢","渡辺 優",2018/01/20,201801,18,256,https://bookmeter.com/books/11444552
"やがて恋するヴィヴィ・レイン 5 (ガガガ文…","犬村 小六",2018/01/20,201801,18,376,https://bookmeter.com/books/12537291
"ディメンタルマン2 ロイドのカルテ (Nov…","サイトウ ケンジ",2018/01/19,201801,18,292,https://bookmeter.com/books/12385278
"黒猫の小夜曲 (光文社文庫)","知念 実希人",2018/01/16,201801,18,406,https://bookmeter.com/books/12591999
"声も出せずに死んだんだ (角川文庫)","長谷川 也",2018/01/14,201801,18,256,https://bookmeter.com/books/12370162
"聖刻-BEYOND- (朝日文庫)","新田祐助",2018/01/12,201801,18,312,https://bookmeter.com/books/12492718
"旅のラゴス (新潮文庫)","筒井 康隆",2018/01/10,201801,18,232,https://bookmeter.com/books/575395
"アイネクライネナハトムジーク (幻冬舎文庫)","伊坂 幸太郎",2018/01/07,201801,18,341,https://bookmeter.com/books/12136344
"時給三〇〇円の死神 (双葉文庫)","藤まる",2018/01/02,201801,18,328,https://bookmeter.com/books/12489372
"グラスホッパー (角川文庫)","伊坂 幸太郎",2018/01/02,201801,18,345,https://bookmeter.com/books/579679
"もうひとつの命 (メディアワークス文庫)","入間 人間",2017/12/26,201712,10,306,https://bookmeter.com/books/12488017
"Just Because! (メディアワーク…","鴨志田 一",2017/12/24,201712,10,322,https://bookmeter.com/books/12410170
"クリスマスを探偵と","伊坂幸太郎",2017/12/23,201712,10,80,https://bookmeter.com/books/12316930
"マリアビートル (角川文庫)","伊坂 幸太郎",2017/12/18,201712,10,592,https://bookmeter.com/books/7276642
"魔術監獄のマリアンヌ (電撃文庫)","松山 剛",2017/12/13,201712,10,344,https://bookmeter.com/books/12436941
"砂漠 (実業之日本社文庫)","伊坂 幸太郎",2017/12/12,201712,10,512,https://bookmeter.com/books/12290440
"淵の王 (新潮文庫)","舞城 王太郎",2017/12/07,201712,10,402,https://bookmeter.com/books/12443065
"ふあゆ (ガガガ文庫)","今慈 ムジナ",2017/12/05,201712,10,294,https://bookmeter.com/books/10886607
"年下寮母に甘えていいですよ? (ガガガ文庫)","今慈 ムジナ",2017/12/05,201712,10,276,https://bookmeter.com/books/12407311
"モンスター (幻冬舎文庫)","百田 尚樹",2017/12/05,201712,10,494,https://bookmeter.com/books/4760601
"マスカレード・イブ (集英社文庫)","東野 圭吾",2017/11/28,201711,8,331,https://bookmeter.com/books/8200702
"バビロン 3 ―終― (講談社タイガ)","野崎 まど",2017/11/25,201711,8,352,https://bookmeter.com/books/12224928
"マスカレード・ホテル (集英社文庫)","東野 圭吾",2017/11/23,201711,8,515,https://bookmeter.com/books/8151617
"魔女の旅々 5 (GAノベル)","白石 定規",2017/11/17,201711,8,304,https://bookmeter.com/books/12341948
"異世界居酒屋「のぶ」四杯目 (宝島社文庫)","蝉川 夏哉",2017/11/14,201711,8,349,https://bookmeter.com/books/12378954
"怨讐星域Ⅲ　約束の地 (ハヤカワ文庫 JA …","梶尾 真治",2017/11/13,201711,8,400,https://bookmeter.com/books/9751906
"怨讐星域Ⅱ　ニューエデン (ハヤカワ文庫JA)","梶尾 真治",2017/11/08,201711,8,448,https://bookmeter.com/books/9751905
"怨讐星域Ⅰ　ノアズ・アーク (ハヤカワ文庫J…","梶尾 真治",2017/11/01,201711,8,448,https://bookmeter.com/books/9751904
"エイルン・ラストコード ~架空世界より戦場へ…","東 龍乃助",2017/10/26,201710,6,328,https://bookmeter.com/books/12322052
"今からあなたを脅迫します 白と黒の交差点 (…","藤石 波矢",2017/10/25,201710,6,304,https://bookmeter.com/books/12260756
"魔法医師の診療記録 6 (ガガガ文庫)","手代木 正太郎",2017/10/21,201710,6,376,https://bookmeter.com/books/12308671
"チルドレン (講談社文庫)","伊坂 幸太郎",2017/10/18,201710,6,352,https://bookmeter.com/books/577162
"思い出の品、売ります買います 九十九古物商店…","皆藤 黒助",2017/10/06,201710,6,288,https://bookmeter.com/books/12101148
"夢が覚めるまで","三秋 縋",2017/10/02,201710,6,141,https://bookmeter.com/books/12304664
"公正的戦闘規範 (ハヤカワ文庫JA)","藤井 太洋",2017/09/30,201709,10,335,https://bookmeter.com/books/12186691
"チアーズ! (MF文庫J)","赤松 中学",2017/09/28,201709,10,264,https://bookmeter.com/books/12267707
"谷中レトロカメラ店の謎日和 フィルム、時を止…","柊 サナカ",2017/09/27,201709,10,318,https://bookmeter.com/books/11176661
"緋弾のアリアXXVI 闇穿つ大蛇 (MF文庫…","赤松 中学",2017/09/26,201709,10,328,https://bookmeter.com/books/12267087
"やがて恋するヴィヴィ・レイン 4 (ガガガ文…","犬村 小六",2017/09/22,201709,10,296,https://bookmeter.com/books/12243358
"谷中レトロカメラ店の謎日和 (宝島社文庫 『…","柊 サナカ",2017/09/21,201709,10,280,https://bookmeter.com/books/9827222
"昨夜のカレー、明日のパン (河出文庫)","木皿 泉",2017/09/17,201709,10,289,https://bookmeter.com/books/10127628
"恥知らずのパープルヘイズ-ジョジョの奇妙な冒…","上遠野 浩平",2017/09/14,201709,10,328,https://bookmeter.com/books/7977661
"サラマンダー殲滅(下) (光文社文庫)","梶尾 真治",2017/09/06,201709,10,455,https://bookmeter.com/books/485552
"サラマンダー殲滅(上) (光文社文庫)","梶尾 真治",2017/09/03,201709,10,456,https://bookmeter.com/books/485550
"今からあなたを脅迫します 透明な殺人者 (講…","藤石 波矢",2017/08/30,201708,11,256,https://bookmeter.com/books/12179649
"きっと彼女は神様なんかじゃない (メディアワ…","入間 人間",2017/08/28,201708,11,290,https://bookmeter.com/books/12145447
"100回泣いても変わらないので恋することにし…","堀川 アサコ",2017/08/25,201708,11,299,https://bookmeter.com/books/11985862
"筺底のエルピス 5 -迷い子たちの一歩- (…","オキシ タケヒコ",2017/08/20,201708,11,488,https://bookmeter.com/books/12124306
"豆の上で眠る (新潮文庫)","湊 かなえ",2017/08/13,201708,11,367,https://bookmeter.com/books/11985212
"リバース (幻冬舎文庫)","五十嵐 貴久",2017/08/10,201708,11,325,https://bookmeter.com/books/11182570
"なれる!SE16 2年目でわかる?SE入門 …","夏海 公司",2017/08/10,201708,11,248,https://bookmeter.com/books/12093068
"リターン (幻冬舎文庫)","五十嵐  貴久",2017/08/10,201708,11,339,https://bookmeter.com/books/9978700
"レッド・クイーン (ハーパーBOOKS)","ヴィクトリア・エイヴヤード",2017/08/09,201708,11,584,https://bookmeter.com/books/11491832
"うたかたエマノン (徳間文庫)","梶尾 真治",2017/08/04,201708,11,371,https://bookmeter.com/books/11224790
"ゆきずりエマノン (徳間文庫)","梶尾 真治",2017/08/01,201708,11,234,https://bookmeter.com/books/7950190
"僕の珈琲店には小さな魔法使いが居候している …","手島 史詞",2017/07/31,201707,22,320,https://bookmeter.com/books/12012191
"まろうどエマノン (徳間文庫)","梶尾 真治",2017/07/28,201707,22,327,https://bookmeter.com/books/7942185
"機巧少女は傷つかない16下 Facing "…","海冬 レイジ",2017/07/26,201707,22,264,https://bookmeter.com/books/11882352
"機巧少女は傷つかない16上 Facing "…","海冬 レイジ",2017/07/26,201707,22,232,https://bookmeter.com/books/11882353
"灰と幻想のグリムガル level.11 あの…","十文字青",2017/07/25,201707,22,255,https://bookmeter.com/books/12115674
"さすらいエマノン","梶尾 真治",2017/07/25,201707,22,272,https://bookmeter.com/books/7884266
"おもいでエマノン: 〈新装版〉 (徳間文庫)","梶尾 真治",2017/07/22,201707,22,375,https://bookmeter.com/books/7457545
"世界は密室でできている。 (講談社文庫)","舞城 王太郎",2017/07/19,201707,22,256,https://bookmeter.com/books/575782
"魔女の旅々4 (GAノベル)","白石 定規",2017/07/17,201707,22,312,https://bookmeter.com/books/11760010
"少女クロノクル。 GIRL'S CHRONO…","ハセガワ ケイスケ",2017/07/14,201707,22,392,https://bookmeter.com/books/11978069
"好き好き大好き超愛してる。 (講談社文庫)","舞城 王太郎",2017/07/13,201707,22,194,https://bookmeter.com/books/575784
"熊の場所 (講談社文庫)","舞城 王太郎",2017/07/12,201707,22,192,https://bookmeter.com/books/577721
"ビッチマグネット (新潮文庫)","舞城 王太郎",2017/07/11,201707,22,235,https://bookmeter.com/books/8220975
"2 (メディアワークス文庫)","野崎 まど",2017/07/09,201707,22,561,https://bookmeter.com/books/5389991
"パーフェクトフレンド (メディアワークス文庫…","野崎 まど",2017/07/09,201707,22,269,https://bookmeter.com/books/4074047
"小説家の作り方 (メディアワークス文庫)","野崎 まど",2017/07/09,201707,22,241,https://bookmeter.com/books/2987967
"死なない生徒殺人事件―識別組子とさまよえる不…","野崎 まど",2017/07/09,201707,22,243,https://bookmeter.com/books/665230
"舞面真面とお面の女 (メディアワークス文庫)","野崎 まど",2017/07/09,201707,22,269,https://bookmeter.com/books/551956
"[映]アムリタ (メディアワークス文庫 の …","野崎 まど",2017/07/08,201707,22,242,https://bookmeter.com/books/563924
"正解するマド (ハヤカワ文庫JA)","乙野四方字",2017/07/08,201707,22,250,https://bookmeter.com/books/12071025
"煙か土か食い物 (講談社文庫)","舞城 王太郎",2017/07/08,201707,22,352,https://bookmeter.com/books/579904
"クロノス・ジョウンターの伝説 (徳間文庫)","梶尾 真治",2017/07/04,201707,22,653,https://bookmeter.com/books/9048112
"阿修羅ガール (新潮文庫)","舞城 王太郎",2017/06/30,201706,10,367,https://bookmeter.com/books/578746
"ジャイロスコープ (新潮文庫)","伊坂 幸太郎",2017/06/28,201706,10,302,https://bookmeter.com/books/9762693
"つめたい転校生 (角川文庫)","北山 猛邦",2017/06/23,201706,10,269,https://bookmeter.com/books/10618976
"愚者のスプーンは曲がる (宝島社文庫 『この…","桐山 徹也",2017/06/22,201706,10,330,https://bookmeter.com/books/11648503
"勇者は、奴隷の君は笑え、と言った (Nove…","内堀 優一",2017/06/21,201706,10,356,https://bookmeter.com/books/11596599
"竜と魔法の空戦記 ~はぐれ魔導技師と穴あき紫…","手島史詞",2017/06/19,201706,10,313,https://bookmeter.com/books/11718046
"放課後地球防衛軍(1)なぞの転校生 (ハヤカ…","笹本祐一",2017/06/17,201706,10,304,https://bookmeter.com/books/11220770
"オリンポスの郵便ポスト (電撃文庫)","藻野 多摩夫",2017/06/08,201706,10,328,https://bookmeter.com/books/11543927
"かりゆしブルー・ブルー 空と神様の八月 (角…","カミツキレイニー",2017/06/07,201706,10,328,https://bookmeter.com/books/11813426
"図書館の魔女 烏の伝言 (下) (講談社文庫)","高田 大介",2017/06/02,201706,10,448,https://bookmeter.com/books/11757745
"図書館の魔女 烏の伝言 (上) (講談社文庫)","高田 大介",2017/05/26,201705,10,448,https://bookmeter.com/books/11757744
"やがて恋するヴィヴィ・レイン 3 (ガガガ文…","犬村 小六",2017/05/21,201705,10,264,https://bookmeter.com/books/11738634
"GONE ゴーン III 虚言 下 (ハーパ…","マイケル グラント",2017/05/20,201705,10,304,https://bookmeter.com/books/11771257
"GONE ゴーン III 虚言 上 (ハーパ…","マイケル グラント",2017/05/19,201705,10,304,https://bookmeter.com/books/11771256
"短篇五芒星 (講談社文庫)","舞城 王太郎",2017/05/17,201705,10,192,https://bookmeter.com/books/11155097
"屈折する星屑 (ハヤカワ文庫JA)","江波光則",2017/05/16,201705,10,318,https://bookmeter.com/books/11617791
"悪逆騎士団II そのエルフ、凶暴につき (電…","水瀬 葉月",2017/05/12,201705,10,344,https://bookmeter.com/books/11747651
"know (ハヤカワ文庫JA)","野崎 まど",2017/05/10,201705,10,368,https://bookmeter.com/books/6994804
"TECHNICAL MASTER はじめての…","山田祥寛",2017/05/05,201705,10,0,https://bookmeter.com/books/11259352
"屋上のテロリスト (光文社文庫)","知念 実希人",2017/05/03,201705,10,366,https://bookmeter.com/books/11707539
"少女地獄 (角川文庫)","夢野 久作",2017/04/30,201704,14,288,https://bookmeter.com/books/570614
"エイルン・ラストコード ~架空世界より戦場へ…","東 龍乃助",2017/04/27,201704,14,328,https://bookmeter.com/books/11717827
"緋弾のアリアXXV 羅馬の軍神星 (MF文庫…","赤松 中学",2017/04/26,201704,14,328,https://bookmeter.com/books/11718646
"LOST 失覚探偵 (下) (講談社タイガ)","周木 律",2017/04/23,201704,14,272,https://bookmeter.com/books/11601795
"魔法医師の診療記録 5 (ガガガ文庫)","手代木 正太郎",2017/04/23,201704,14,344,https://bookmeter.com/books/11650687
"我もまたアルカディアにあり (ハヤカワ文庫J…","江波光則",2017/04/21,201704,14,352,https://bookmeter.com/books/9761935
"ひきこもりの弟だった (メディアワークス文庫)","葦舟 ナツ",2017/04/17,201704,14,354,https://bookmeter.com/books/11580723
"アンブロークンアロー―戦闘妖精・雪風","神林 長平",2017/04/16,201704,14,328,https://bookmeter.com/books/568539
"グッドラック―戦闘妖精・雪風 (ハヤカワ文庫…","神林 長平",2017/04/15,201704,14,638,https://bookmeter.com/books/574714
"白翼のポラリス (講談社ラノベ文庫)","阿部 藍樹",2017/04/07,201704,14,328,https://bookmeter.com/books/11647866
"よだかの片想い (集英社文庫)","島本 理生",2017/04/06,201704,14,254,https://bookmeter.com/books/9836034
"おにんぎょうさまがた (集英社オレンジ文庫)","長谷川 夕",2017/04/05,201704,14,288,https://bookmeter.com/books/11300601
"どんどん橋、落ちた〈新装改訂版〉 (講談社文…","綾辻 行人",2017/04/02,201704,14,496,https://bookmeter.com/books/11494080
"夜行","森見 登美彦",2017/04/01,201704,14,256,https://bookmeter.com/books/11182143
"リカ (幻冬舎文庫)","五十嵐 貴久",2017/03/31,201703,11,406,https://bookmeter.com/books/571613
"灰と幻想のグリムガル level.10 ラブ…","十文字青",2017/03/24,201703,11,288,https://bookmeter.com/books/11604634
"火花 (文春文庫)","又吉 直樹",2017/03/22,201703,11,180,https://bookmeter.com/books/11293635
"か「」く「」し「」ご「」と「","住野 よる",2017/03/19,201703,11,288,https://bookmeter.com/books/11578118
"少女キネマ 或は暴想王と屋根裏姫の物語 (単…","一 肇",2017/03/18,201703,11,373,https://bookmeter.com/books/7982639
"リリエールと祈りの国 (GA文庫)","白石 定規",2017/03/15,201703,11,288,https://bookmeter.com/books/11512517
"異世界居酒屋「のぶ」三杯目 (宝島社文庫)","蝉川 夏哉",2017/03/15,201703,11,357,https://bookmeter.com/books/11561053
"黒の派遣 (TO文庫)","江崎双六",2017/03/12,201703,11,266,https://bookmeter.com/books/11488146
"【文庫】 ひまわり探偵局 (文芸社文庫NEO)","濱岡 稔",2017/03/06,201703,11,385,https://bookmeter.com/books/11457031
"最良の嘘の最後のひと言 (創元推理文庫)","河野 裕",2017/03/03,201703,11,325,https://bookmeter.com/books/11465532
"少女妄想中。 (メディアワークス文庫)","入間 人間",2017/03/02,201703,11,306,https://bookmeter.com/books/11498140
"おそれミミズク あるいは彼岸の渡し綱 (講談…","オキシ タケヒコ",2017/02/24,201702,6,336,https://bookmeter.com/books/11449497
"終電の神様 (実業之日本社文庫)","阿川大樹",2017/02/17,201702,6,320,https://bookmeter.com/books/11525082
"さあ、気ちがいになりなさい (ハヤカワ文庫S…","フレドリック ブラウン",2017/02/12,201702,6,370,https://bookmeter.com/books/11204975
"LOST 失覚探偵 (中) (講談社タイガ)","周木 律",2017/02/11,201702,6,272,https://bookmeter.com/books/11256791
"美亜へ贈る真珠 〔新版〕 (ハヤカワ文庫JA)","梶尾真治",2017/02/11,201702,6,320,https://bookmeter.com/books/11264573
"銃皇無尽のファフニール13 スターダスト・ク…","ツカサ",2017/02/03,201702,6,264,https://bookmeter.com/books/11461795
